,price,num_parking,type,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd,median_house_rent_per_week,median_apartment_rent_per_week,avg_years_held,year_sold,price_year_ratio,day_sold,region_fre,suburb_fre,region_price_diff,type_encoded,property_size_bin,suburb_house_price_bin,suburb_apartment_price_bin,num_bath_bed,house_rent_yield,apartment_rent_yield,property/room_ratio,English,Australian
2276,2050000.0,1,House,10341.0,46228,1.517,-33.88889,151.18298,36,1.75,159.3,3.63,785.0,620.0,11.7,2016,669.3108577094695,22,0.1210127591706539,0.0033891547049441787,296985.17298187804,5,3,3,5,5,0.030237037037037038,0.04242105263157895,47.2,21.0,15.8
2277,715000.0,1,House,21783.0,20644,5.042,-33.89828,150.93609,14,1.5,160.5,25.6,420.0,340.0,12.3,2018,421.00049529470033,15,0.29984051036682613,0.001993620414673046,-27830.452127659577,5,5,2,1,4,0.025694117647058822,0.0442,139.0,4.7,3.9
2278,1540000.0,2,House,10304.0,37336,3.065,-33.99452,151.13524,3,0.25,172.6,15.92,690.0,495.0,12.7,2020,717.4666006927264,10,0.10127591706539076,0.006180223285486443,-113090.5511811024,5,5,3,5,4,0.024744827586206896,0.03386842105263158,153.25,16.4,16.2
2279,945000.0,1,Apartment / Unit / Flat,10078.0,45604,0.805,-33.90769,151.2083,23,1.5,169.8,4.72,975.0,740.0,16.5,2018,693.4125804853888,29,0.015151515151515152,0.0023923444976076554,481578.9473684211,1,2,3,7,4,0.03621428571428571,0.04182608695652174,27.75,13.1,8.1
2280,1535000.0,3,House,8464.0,43160,3.87,-33.72225,151.08107,167,0.75,169.6,19.84,610.0,540.0,12.5,2019,594.059405940594,19,0.03269537480063796,0.0027910685805422647,638719.512195122,5,7,3,6,8,0.026433333333333333,0.0312,138.25,23.3,21.8
2281,857000.0,1,House,7287.0,43472,6.123,-33.73636,151.07741,168,1.5,153.5,18.83,660.0,490.0,12.6,2019,693.0693069306931,21,0.06120414673046252,0.003787878787878788,-152687.29641693807,5,7,3,5,4,0.024514285714285714,0.03309090909090909,270.5,22.6,18.7
2282,3650000.0,1,House,10453.0,69784,1.538,-33.85833,151.18067,36,0.1,220.1,2.81,890.0,650.0,12.3,2021,939.6636993076162,23,0.1210127591706539,0.004585326953748007,-253014.82701812196,5,2,4,7,5,0.024357894736842106,0.0338,37.0,23.4,17.3
2283,1170000.0,2,House,10479.0,37284,3.376,-34.01392,151.10109,20,1.5,174.0,19.33,755.0,510.0,11.8,2017,619.4251734390485,23,0.06279904306220095,0.005980861244019139,-287246.0317460317,5,5,3,6,8,0.031408,0.031384615384615386,69.5,22.5,21.4
2284,3375000.0,2,House,3962.0,44408,1.86,-34.0446,151.1403,16,1.5,169.8,20.92,900.0,540.0,15.0,2018,842.0009905894007,16,0.06279904306220095,0.0023923444976076554,-737246.0317460317,5,8,4,5,15,0.027529411764705882,0.03744,107.06666666666666,29.9,27.3
2285,1180000.0,2,House,5177.0,44044,2.555,-33.91254,150.84322,54,0.1,220.1,34.32,545.0,502.32034632034635,4.7,2021,383.28387734915924,20,0.29984051036682613,0.0021929824561403508,47169.54787234042,5,5,1,5,6,0.03656774193548387,0.03576580910589876,91.83333333333333,7.7,11.9
2286,880000.0,3,House,7095.0,43056,11.062,-33.66638,151.12988,117,1.5,153.5,23.26,620.0,445.0,15.9,2019,495.0495049504951,26,0.033293460925039875,0.0027910685805422647,369161.67664670665,5,6,2,4,4,0.03224,0.03673015873015873,208.75,26.9,25.4
2287,1338000.0,2,House,6608.0,34008,1.776,-33.75,151.27239,83,1.5,167.6,14.02,795.0,550.0,13.3,2016,718.8894397620228,24,0.07236842105263158,0.0043859649122807015,538292.0110192837,5,6,3,5,6,0.028510344827586208,0.03916065744169427,149.5,25.5,21.6
2288,1800000.0,1,House,14625.0,56784,2.595,-33.88143,151.15595,31,0.1,220.1,5.31,770.0,560.0,12.2,2021,717.1117705242334,21,0.1210127591706539,0.006379585326953748,196985.17298187804,5,3,3,6,3,0.027613793103448275,0.03328,70.66666666666667,23.1,18.3
2289,1840000.0,1,House,13473.0,44876,8.643,-33.75137,151.22303,148,0.1,197.9,12.68,900.0,520.0,13.6,2021,766.5677546983185,5,0.07236842105263158,0.004784688995215311,438292.0110192837,5,4,4,5,5,0.030193548387096775,0.037024621581238225,63.6,28.2,24.1
2290,2900000.0,1,House,6219.0,37700,2.313,-33.99061,151.10947,37,0.1,210.1,16.73,770.0,460.0,12.4,2021,791.2957467853611,16,0.10127591706539076,0.0021929824561403508,-263090.5511811024,5,5,4,6,4,0.025025,0.029714285714285714,156.5,14.1,13.8
2291,1090000.0,2,House,4765.0,50336,13.744,-33.99074,150.74247,81,0.75,166.4,45.41,510.0,350.0,1.7,2019,351.48514851485146,26,0.06279904306220095,0.007575757575757576,252753.96825396828,5,4,1,4,7,0.037352112676056336,0.02935483870967742,64.28571428571429,17.5,23.3
2292,3420000.0,2,Apartment / Unit / Flat,8207.0,48932,2.197,-33.71505,151.29588,0,0.1,220.1,18.45,1050.0,580.0,9.8,2021,1112.759643916914,17,0.07236842105263158,0.0021929824561403508,-261707.98898071633,1,3,5,6,5,0.024266666666666666,0.03527485380116959,57.8,31.4,22.6
2293,1350000.0,2,House,9396.0,47112,5.117,-33.75342,151.06372,130,1.02,159.0,18.35,760.0,500.0,12.8,2019,841.5841584158416,7,0.06120414673046252,0.003987240829346092,-452687.2964169381,5,6,4,7,6,0.023247058823529412,0.026530612244897958,153.83333333333334,23.1,19.3
2294,2160000.0,2,House,37050.0,41288,16.003,-33.74634,150.98287,93,0.1,220.1,24.81,590.0,510.0,14.5,2021,593.4718100890208,30,0.06120414673046252,0.008971291866028708,47312.70358306193,5,5,3,5,6,0.025566666666666668,0.03632876712328767,116.0,19.4,19.2
2295,1350000.0,1,House,1238.0,39728,0.495,-33.99813,151.14125,3,1.5,154.2,16.06,740.0,510.0,12.9,2019,841.5841584158416,23,0.10127591706539076,0.0035885167464114833,-363090.5511811024,5,5,4,6,4,0.02263529411764706,0.03234146341463415,153.25,21.0,14.7
2296,1200000.0,3,House,37050.0,41288,16.003,-33.74634,150.98287,93,1.0,166.4,24.81,590.0,510.0,14.5,2019,594.059405940594,14,0.06120414673046252,0.008971291866028708,47312.70358306193,5,5,3,5,5,0.025566666666666668,0.03632876712328767,139.2,19.4,19.2
